Agent,Total Calls,Answered Calls,Missed Calls,Incoming Calls,Outgoing Calls,Total Tickets,Tickets Closed,Tickets Reopened,Tickets Pending,Total Calls,Total Tickets,SLA,SLA %,Date
tevasupport,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
hafvi@aaae.ah,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
support,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
aliceDesk,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
test001,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
testt@gmail.com,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
karthikeyan@gmail.com,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
manoj,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
ggggg,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
customer,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
testtesttesttest,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
test1test,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
dftest1test,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
test1testsa,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
kamal12,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
sundar2@gmail.com,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
testnew,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
kamal,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
customer006,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
testalicekila,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
kilatest,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
gnana,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
vinoth,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
sandeep,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
customer003,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
abcdef,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
Agent003,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
test002,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
testUser,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
gdfg,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
mahendran,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
newuser,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
mahendran001,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
customer005,0,0,0,0,0,0,0,0,0,0,0,2017-06-14
